FORNECEDOR;DESCRIÇÃO;TIPO DE DESPESA;LOJA;DATA DA NF ;VENCIMENTO; VALOR 
CLARO S.A.;CLARO - INTERNET - TIM PATIO SUBSOLO ;INTERNET;TIM PATIO BELEM SUBSOLO;06/01/2024;21/01/2026;R$ 92,54
CLARO S.A.;CLARO - TIM BOULEVARD;INTERNET;TIM BOULEVARD;08/12/2024;22/01/2026;R$ 140,34
NEOENERGIA DISTRIBUICAO BRASILIA S.A;NEOENERGIA - TIM AGUAS CLARAS;ENERGIA ELETRICA;TIM AGUAS CLARAS;06/01/2025;22/01/2026;R$ 982,06
SUXBERGER SOLUCOES EM TECNOLOGIA;SUXBERGER - MENSALIDADE  - GRUPO TELECEL;MANUTENÇÃO - TI;GRUPO TELECEL;10/12/2024;22/01/2026;R$ 3.700,00
MAIA E BORBA S/A;ALUGUEL DOBRADO   - SAMSUNG ARAGUAIA SHOPPING;ALUGUEL;SAMSUNG ARAGUAIA SHOPPING;06/01/2025;22/01/2026;R$ 4.472,30
2008 EMPREENDIMENTOS COMERCIAIS S.A ;ALUGUEL DEPÓSITO - SAMSUNG BOULEVARD;ALUGUEL;SAMSUNG BOULEVARD SHOPPING;21/12/2024;21/01/2026;R$ 1.128,45
2008 EMPREENDIMENTOS COMERCIAIS S.A ;ALUGUEL/CONDOMINIO/FPP -SAMSUNG BOULEVARD ;ALUGUEL;SAMSUNG BOULEVARD SHOPPING;21/12/2024;21/01/2026;R$ 18.474,04
CONDOMINIO DO SHOPPING SUL ;ALUGUEL/CONDOMINIO - MOTOROLA SHOPPING SUL;ALUGUEL;MOTOROLA SHOPPING SUL;20/12/2024;21/01/2026;R$ 12.372,92
AGUAS LINDAS SHOPPING;ALUGUEL / CONDOMINIO / FPP - TIM AGUAS LINDAS;ALUGUEL;TIM AGUAS LINDAS;27/12/2024;21/01/2026;R$ 18.574,85
CONDOMINIO DO SHOPPING METROPOLE ;CONDOMINIO - TIM METROPOLES ;ALUGUEL ;TIM METROPOLE;19/12/2024;21/01/2026;R$ 11.748,31
BANDEIRANTE COMERCIAL ATACADISTA DE EMBALAGENS E DESCARTAVEIS EIRELI;BANDEIRANTE COM. ATAC. (MATERIAL DE LIMPEZA) - GRUPO TELECEL;MATERIAL DE LIMPEZA;LOJAS SAMSUNG ;12/12/2024;21/01/2026;R$ 1.570,14
CONDOMINIO DO GAMA SHOPPING;CONDOMINIO - GAMA TIM LOJA 142;ALUGUEL;TIM GAMA SHOPPING;23/12/2024;21/01/2026;R$ 1.079,63
CONDOMINIO DO GAMA SHOPPING;CONDOMINIO - GAMA TIM LOJA 141;ALUGUEL;TIM GAMA SHOPPING;23/12/2024;21/01/2026;R$ 1.079,63
CONDOMINIO DO GAMA SHOPPING;CONDOMINIO - GAMA TIM LOJA 160;ALUGUEL;TIM GAMA SHOPPING;23/12/2024;21/01/2026;R$ 1.079,63
CONDOMINIO DO GAMA SHOPPING;CONDOMINIO - GAMA TIM LOJA 161;ALUGUEL;TIM GAMA SHOPPING;23/12/2024;21/01/2026;R$ 1.079,63
WORLD DIGITAL INFORMATICA EIRELI;ICON DIGITAL - (FATURAMENTO DEZ.2024);ALUGUEL IMPRESSORA;LOJAS SAMSUNG;26/12/2024;21/01/2026;R$ 2.547,00
TELEFONICA BRASIL S.A;VIVO COMBO DE LINHAS LOJAS TIM CNB - SAMSUNG PARK E IGUATEMI;CONTA TELEFONE;TIM CNB;09/12/2024;21/01/2026;R$ 113,52
TELEFONICA BRASIL S.A;VIVO - FIXO - TIM AGUAS CLARAS ;CONTA TELEFONE;TIM AGUAS CLARAS;09/12/2024;21/01/2026;R$ 54,31
TELEFONICA BRASIL S.A;VIVO COMBO DE LINHAS LOJAS CNB MOTOROLA, SAMSUNG E TIM - TAGUATINGA TIM E ESTOQUE - GAMA TIM;CONTA TELEFONE;MOTOROLA CNB SHOPPING;09/12/2024;21/01/2026;R$ 363,07
TELEFONICA BRASIL S.A;VIVO COMBO DE LINHAS LOJAS MOTOROLA SHOPPING SUL - MOTOROLA BURITI E SAMSUNG GOIANIA;CONTA TELEFONE;MOTOROLA SHOPPING SUL;09/12/2024;21/01/2026;R$ 224,94
